Номенклатура;Дата;Количество;Цена;Сумма;НДС;Контрагент;Организация
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-25 11:22:55;232.0;148.03;17171.71;2861.95;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-24 23:59:57;128.0;129.22;8270.08;1378.35;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-24 11:28:54;128.0;148.03;9474.05;1579.01;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-23 23:59:57;440.0;129.22;28428.4;4738.07;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-23 07:10:17;160.0;148.03;11842.56;1973.76;Лента ООО РЦ Тольятти;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-23 00:20:38;280.0;148.03;20724.48;3454.08;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-22 23:59:57;480.0;129.22;31012.8;5168.8;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-22 11:13:19;280.0;150.41;21057.12;3509.52;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-22 11:13:14;200.0;196.9;19689.6;3281.6;Лента ООО РЦ Новосибирск;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-18 23:59:57;296.0;129.22;19124.56;3187.43;ВРА-М ООО;"ООО ""7 Утра"""
